@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data
med,vhigh,?,4,?,?,unacc
?,?,?,?,small,?,?
?,vhigh,2,4,?,?,?
?,vhigh,?,4,med,?,?
med,?,?,4,?,?,?
?,?,?,?,med,high,acc
?,vhigh,2,?,?,?,?
?,?,?,?,?,med,acc
?,?,?,4,?,high,acc
med,?,?,more,?,?,?
?,?,?,?,?,?,unacc
?,vhigh,?,?,small,?,unacc
?,vhigh,?,?,med,?,unacc
med,?,?,?,?,?,unacc
med,vhigh,2,?,med,?,?
med,?,?,more,?,low,unacc
?,vhigh,2,more,big,med,acc
?,?,2,?,?,high,?
med,?,?,?,?,?,?
?,vhigh,?,2,small,med,?
?,vhigh,?,?,small,high,?
?,?,?,?,?,low,?
med,?,3,?,med,med,?
med,?,?,2,?,high,?
?,vhigh,?,?,big,?,?
?,?,?,?,?,?,?
?,vhigh,?,?,?,high,?
?,?,?,?,?,?,?
?,?,3,4,?,?,unacc
?,?,?,?,?,high,acc
med,vhigh,?,?,med,low,?
med,vhigh,3,4,med,med,?
?,?,?,?,med,?,acc
med,vhigh,?,?,big,?,unacc
med,?,?,4,big,?,acc
?,?,3,?,?,high,?
?,vhigh,?,?,small,?,?
med,?,?,more,small,med,?
med,vhigh,3,?,?,?,acc
?,?,?,more,?,?,?
med,?,?,?,?,med,?
?,?,?,?,med,high,acc
med,?,3,more,?,low,unacc
?,?,3,?,?,med,acc
?,vhigh,?,?,?,?,?
?,vhigh,?,?,?,?,unacc
?,?,?,2,small,med,unacc
med,?,4,?,?,high,?
?,vhigh,?,?,med,low,unacc
?,?,?,2,?,?,?
med,vhigh,4,2,?,high,unacc
?,?,4,?,?,?,?
?,?,?,?,big,med,?
?,vhigh,?,2,?,?,?
?,vhigh,4,?,?,?,unacc
?,?,?,4,?,?,?
med,?,4,?,small,high,?
med,?,?,4,med,?,?
?,?,4,?,?,med,acc
?,vhigh,?,4,?,high,acc
med,?,4,?,?,low,?
?,vhigh,?,4,big,?,?
?,?,4,?,?,high,acc
med,?,?,more,?,low,?
?,vhigh,?,more,small,med,?
med,?,?,?,small,?,acc
?,vhigh,?,more,?,?,unacc
?,?,?,?,med,med,?
med,vhigh,4,?,?,?,?
?,vhigh,?,more,?,low,?
?,?,?,more,?,med,?
?,vhigh,4,?,?,?,?
med,vhigh,?,?,small,?,?
?,?,5more,2,small,?,unacc
med,?,?,?,small,?,?
?,vhigh,?,2,med,low,unacc
?,vhigh,?,?,med,?,?
med,?,?,2,med,?,unacc
?,vhigh,5more,2,?,?,?
?,vhigh,5more,2,big,?,unacc
?,vhigh,5more,2,?,high,unacc
med,vhigh,?,4,?,low,?
?,?,?,?,small,?,unacc
med,vhigh,?,?,small,?,?
?,?,5more,4,?,low,?
?,?,5more,?,med,med,?
?,?,?,?,?,?,acc
?,?,?,?,?,?,unacc
med,?,5more,?,?,?,acc
?,?,5more,?,big,high,?
?,vhigh,?,more,small,?,unacc
?,vhigh,?,?,small,?,unacc
?,?,5more,?,?,?,?
?,?,5more,?,med,?,?
?,?,5more,more,med,?,?
?,vhigh,?,more,?,?,acc
med,?,5more,?,?,low,?
?,vhigh,5more,?,?,?,?
?,vhigh,?,more,big,?,?
?,?,?,2,small,low,?
?,?,2,?,?,?,?
med,high,2,2,small,high,unacc
?,?,2,2,?,low,?
med,?,2,?,?,med,unacc
med,high,2,?,med,?,?
?,high,?,2,?,?,unacc
?,high,2,?,?,?,unacc
?,?,?,?,big,high,?
?,?,2,4,?,?,?
med,?,2,?,small,med,unacc
?,?,2,?,?,high,?
med,?,?,?,?,?,?
?,high,?,?,?,?,unacc
?,?,?,?,?,high,?
?,?,2,4,big,?,?
?,?,?,4,?,?,?
?,high,2,4,big,?,?
?,?,?,more,small,?,?
?,high,?,?,?,?,?
?,?,2,?,small,high,unacc
?,?,?,more,?,?,?
?,?,2,more,?,med,unacc
med,high,2,?,med,high,?
med,high,2,?,big,?,unacc
?,high,?,?,?,med,?
med,high,2,?,?,?,?
med,high,?,2,small,?,?
med,high,?,2,?,med,unacc
med,?,3,?,?,high,unacc
?,?,?,?,med,?,unacc
?,?,3,?,?,?,?
?,high,?,?,?,high,unacc
?,high,3,2,?,low,unacc
?,high,?,?,big,?,unacc
med,high,3,?,big,high,?
med,high,3,?,?,low,?
?,high,?,4,?,med,?
?,?,?,?,small,high,?
?,?,?,?,?,?,unacc
med,high,?,?,med,med,?
?,?,?,4,?,high,?
med,?,?,?,big,low,unacc
med,?,3,4,?,?,?
?,high,?,?,?,?,?
?,high,3,?,?,?,?
?,?,3,?,?,?,?
?,?,?,?,?,high,?
med,high,3,?,?,low,unacc
?,?,?,more,?,med,?
?,?,3,?,?,high,acc
?,high,3,?,?,?,?
med,?,3,?,big,med,?
?,high,3,?,?,?,acc
?,?,?,?,small,low,?
med,?,?,?,?,med,unacc
?,?,?,?,?,?,?
med,?,?,?,?,?,?
?,high,?,?,med,?,?
?,high,4,?,med,?,unacc
?,?,?,?,?,low,?
?,high,4,2,?,?,?
med,?,4,?,big,high,?
?,?,4,4,?,?,?
med,high,?,?,small,?,?
med,high,?,?,?,high,?
med,?,?,4,?,low,?
med,?,4,?,med,med,?
?,?,4,4,?,?,?
?,?,4,?,?,low,?
med,?,?,4,?,med,acc
?,?,4,?,big,?,?
?,high,?,?,?,?,?
?,?,?,more,small,?,?
?,?,?,?,small,?,?
?,?,?,?,?,?,?
?,?,4,more,?,med,acc
med,?,?,more,med,?,?
?,?,4,?,?,?,unacc
med,high,4,?,big,med,?
?,?,?,?,?,?,acc
?,high,5more,2,?,?,unacc
med,?,?,2,?,med,?
?,?,?,?,?,?,unacc
med,?,?,?,?,?,unacc
med,?,?,2,?,med,?
med,high,?,2,?,high,unacc
med,?,5more,?,?,?,unacc
?,?,?,?,big,med,unacc
?,high,5more,?,big,high,unacc
med,?,?,?,small,low,?
?,high,?,4,small,?,unacc
?,?,?,?,?,?,?
?,high,?,4,?,?,?
?,?,?,4,med,med,acc
?,?,5more,4,med,?,?
med,?,5more,?,?,?,?
med,high,5more,4,?,?,acc
?,?,?,?,?,?,?
med,high,5more,?,?,?,?
?,?,5more,?,small,?,unacc
med,?,?,?,?,?,?
med,?,5more,more,med,low,?
?,?,?,?,?,?,?
?,high,5more,more,med,high,?
med,?,5more,?,?,?,?
?,?,?,?,?,?,?
?,?,?,more,big,?,?
?,?,?,?,?,low,?
?,?,2,?,small,med,unacc
?,?,?,2,?,?,?
?,?,?,?,med,?,?
?,med,?,?,?,?,?
?,?,?,?,?,?,?
med,?,2,2,big,low,unacc
?,med,2,2,?,med,?
?,med,2,?,?,?,unacc
med,?,2,?,small,low,?
?,?,2,4,small,?,?
med,?,?,?,small,?,acc
?,?,2,?,?,?,unacc
med,?,?,?,?,?,?
med,med,2,?,?,?,acc
?,med,?,4,?,?,?
?,?,2,?,?,?,?
?,?,?,4,?,high,?
med,?,?,?,?,?,unacc
?,?,2,more,?,med,?
?,?,?,?,?,high,unacc
?,?,?,more,?,?,?
?,?,?,?,?,?,?
?,med,?,?,?,high,?
med,?,?,more,?,low,unacc
med,med,2,?,?,med,?
med,med,2,more,big,high,?
?,med,3,?,?,low,?
?,?,?,?,?,?,?
?,?,3,?,?,?,?
med,?,3,?,med,low,?
med,med,3,2,?,med,unacc
med,med,3,2,?,?,?
med,?,3,?,?,low,?
med,?,?,2,?,?,?
med,med,?,?,big,high,unacc
?,med,?,?,small,low,?
?,?,3,4,small,?,?
?,?,3,4,?,?,acc
med,med,?,4,?,?,?
med,?,3,?,?,med,acc
?,med,?,?,?,high,?
?,med,?,4,?,low,?
med,med,3,?,?,?,acc
med,?,3,?,?,high,vgood
?,?,3,?,?,low,?
med,med,3,more,small,med,?
med,med,3,?,?,?,?
med,?,?,?,?,?,unacc
?,med,?,?,?,?,?
med,?,?,?,?,?,?
?,?,?,more,big,low,?
?,?,?,?,?,med,acc
?,?,3,?,?,high,vgood
?,med,?,2,small,low,?
?,?,4,2,?,med,?
?,med,?,2,small,?,?
?,?,?,?,?,low,unacc
?,med,?,2,?,?,unacc
?,med,4,2,?,high,unacc
med,?,4,?,big,low,?
?,?,4,2,?,?,?
?,?,?,2,?,?,?
?,?,?,4,?,?,?
?,med,?,?,?,med,?
?,med,?,4,?,?,?
?,?,?,4,med,low,?
med,?,4,?,?,?,?
med,med,4,4,med,high,?
?,?,4,4,?,low,?
?,med,?,?,?,med,acc
med,?,?,?,?,high,?
med,?,?,more,?,?,unacc
med,?,?,more,small,?,?
?,med,4,?,?,?,?
?,?,?,more,?,low,?
?,med,4,more,?,?,acc
?,med,4,?,med,?,?
med,?,4,more,big,?,?
med,?,?,?,?,?,?
med,med,4,?,big,high,vgood
med,?,5more,?,small,low,unacc
med,med,?,?,small,?,?
med,?,?,?,?,high,?
?,?,?,?,med,low,unacc
med,?,5more,2,?,med,unacc
?,?,5more,?,?,?,?
med,?,5more,?,?,low,unacc
med,med,?,?,?,med,?
?,med,?,2,big,?,?
med,med,?,?,?,?,?
med,?,5more,?,?,med,?
med,med,?,?,?,?,acc
med,?,?,?,?,?,?
?,?,5more,?,?,?,acc
med,?,5more,?,?,?,vgood
med,med,5more,?,?,low,?
med,?,?,4,big,?,acc
?,?,?,4,big,high,?
?,?,?,more,small,low,?
?,med,?,more,?,?,acc
med,?,?,more,small,?,acc
?,?,?,more,?,low,unacc
?,?,5more,more,?,med,acc
med,?,?,more,med,high,?
med,med,?,?,?,low,unacc
med,med,?,more,big,med,?
?,?,?,?,big,?,vgood
?,?,2,?,small,?,?
?,?,?,2,?,?,unacc
med,low,?,2,small,?,?
med,?,?,?,med,low,unacc
?,?,?,2,?,?,?
med,low,?,2,med,?,unacc
med,low,?,2,big,?,?
?,?,?,2,?,med,unacc
?,low,?,2,?,high,?
?,?,2,4,?,low,unacc
?,?,?,4,?,med,acc
?,?,?,4,?,?,?
?,?,?,?,?,low,unacc
med,low,?,?,?,med,?
med,?,2,4,?,?,?
?,?,2,4,?,?,unacc
med,?,2,?,?,med,?
?,?,?,?,?,high,?
?,?,?,?,?,?,?
?,?,2,?,small,?,unacc
?,low,2,?,?,high,?
?,low,?,?,?,?,?
med,?,?,more,?,?,?
?,?,2,?,?,?,good
?,?,?,?,?,low,?
med,low,2,more,?,?,good
?,?,?,?,?,high,?
?,?,?,?,small,?,?
med,?,?,2,small,med,?
?,?,?,2,?,?,?
med,low,?,?,med,?,?
?,?,?,?,?,med,?
?,low,?,?,?,high,?
med,?,?,2,?,?,unacc
?,?,3,2,big,?,?
med,?,3,?,?,high,unacc
?,?,3,4,?,low,?
?,?,?,?,small,med,acc
?,low,?,?,?,high,good
?,low,?,4,?,?,?
?,?,3,?,med,med,?
med,low,?,?,?,?,?
med,low,3,4,big,?,unacc
med,?,3,?,?,med,?
?,?,3,?,big,high,vgood
?,low,?,?,small,?,?
?,?,?,?,small,med,?
med,low,3,?,?,?,?
med,low,?,?,?,low,unacc
?,low,?,?,?,med,good
med,?,?,more,med,high,?
?,?,3,?,?,?,?
?,?,?,?,?,med,?
med,low,3,?,big,?,?
med,?,4,?,small,?,?
?,?,?,2,?,med,?
med,?,?,?,?,high,unacc
?,?,?,2,?,?,?
?,low,?,2,?,?,unacc
med,?,?,?,med,?,?
?,low,?,?,?,?,unacc
?,?,4,2,?,?,?
?,?,?,?,?,high,?
?,?,?,?,small,?,?
med,?,?,?,?,med,?
med,?,4,?,small,?,good
med,?,?,?,?,?,unacc
?,?,?,?,?,?,?
?,low,?,?,med,high,?
med,low,?,?,?,?,unacc
med,?,?,?,big,?,good
?,low,?,?,big,high,?
?,?,4,more,?,low,unacc
med,low,?,more,small,?,acc
med,low,?,?,small,?,good
?,?,4,more,med,low,?
?,low,?,?,?,med,good
med,low,4,?,?,high,vgood
?,low,?,?,big,?,unacc
med,low,4,?,?,med,good
?,low,4,more,?,?,?
?,?,5more,?,?,low,?
med,?,?,2,?,med,unacc
med,low,?,2,?,high,unacc
med,?,?,2,?,?,unacc
med,low,?,?,?,?,?
?,?,?,2,?,high,unacc
med,low,?,?,big,?,?
?,low,?,?,?,?,?
med,?,?,2,?,?,?
med,?,?,4,small,low,unacc
?,low,5more,?,?,med,?
med,?,?,4,?,high,good
?,?,?,?,?,?,?
?,?,5more,4,?,med,good
?,low,?,?,med,?,?
?,low,5more,?,?,low,unacc
?,?,5more,4,big,?,?
?,?,5more,?,?,?,?
?,?,?,?,small,?,unacc
med,?,5more,?,?,?,?
?,low,5more,more,small,high,?
med,low,?,more,?,?,unacc
med,?,?,more,?,med,?
?,?,5more,?,med,?,?
?,?,?,more,?,low,unacc
med,low,5more,?,?,med,?
?,low,5more,?,big,high,?
low,?,?,?,?,?,?
low,vhigh,2,?,?,?,unacc
?,vhigh,?,?,small,high,unacc
low,vhigh,?,2,med,?,unacc
?,?,?,2,?,med,unacc
low,?,2,?,med,?,unacc
low,vhigh,?,2,?,low,unacc
low,?,?,2,big,med,unacc
low,vhigh,2,?,?,high,unacc
?,?,?,?,?,?,unacc
?,?,?,?,small,med,unacc
?,?,?,4,small,?,?
low,?,?,4,?,?,?
?,?,?,?,med,med,unacc
?,?,2,?,?,high,acc
low,vhigh,2,4,?,?,?
low,vhigh,2,?,?,?,?
?,vhigh,?,?,?,?,?
?,?,2,?,?,?,unacc
?,?,?,?,?,?,unacc
?,?,?,more,?,?,?
?,?,2,?,?,?,?
low,?,2,?,?,med,unacc
low,?,2,more,?,?,?
low,?,?,?,big,?,?
low,vhigh,?,?,?,?,?
?,vhigh,?,?,big,?,acc
?,?,?,?,?,?,unacc
low,?,3,2,?,?,?
?,?,3,?,small,high,unacc
low,vhigh,3,2,?,low,?
?,?,3,?,med,med,unacc
low,?,?,?,med,high,unacc
?,vhigh,?,?,big,?,unacc
?,vhigh,?,?,?,med,?
?,?,?,2,big,high,?
?,?,?,?,?,?,?
?,?,?,4,small,?,unacc
low,?,3,4,?,?,?
?,?,3,?,med,?,?
low,vhigh,3,?,?,?,unacc
low,vhigh,3,4,med,high,?
?,?,?,4,big,low,?
?,vhigh,3,4,?,med,acc
low,?,?,4,big,high,acc
?,?,3,?,?,?,unacc
low,?,?,?,?,med,?
low,?,3,?,small,?,?
?,?,?,?,?,low,unacc
?,?,?,?,med,?,?
?,vhigh,?,more,?,high,?
low,?,3,?,big,low,unacc
low,?,?,?,big,?,?
low,vhigh,3,?,?,high,?
low,vhigh,?,?,?,?,unacc
?,vhigh,4,?,small,?,?
?,?,4,2,small,high,unacc
low,?,4,2,?,low,?
?,vhigh,?,?,?,med,unacc
?,vhigh,?,?,?,?,unacc
low,?,?,?,?,?,?
low,vhigh,4,2,?,?,unacc
?,?,4,?,?,high,?
?,?,4,?,?,low,unacc
?,?,?,?,?,?,?
low,?,?,4,?,?,?
low,?,?,4,med,low,?
?,?,?,4,med,med,acc
?,?,?,?,?,?,acc
?,?,?,?,big,?,unacc
?,?,4,?,?,?,?
low,vhigh,4,?,?,high,?
low,vhigh,?,?,?,low,unacc
?,vhigh,?,more,?,?,?
?,?,?,more,small,?,?
low,?,4,?,?,?,?
?,vhigh,?,more,med,?,?
low,vhigh,4,more,?,?,?
?,?,?,?,?,low,unacc
low,vhigh,4,?,big,?,?
?,?,?,?,?,high,?
low,?,?,2,?,?,unacc
?,?,?,2,?,med,unacc
?,?,?,2,?,?,?
low,vhigh,?,?,med,low,?
low,vhigh,5more,2,med,?,unacc
?,vhigh,?,?,med,?,?
?,vhigh,?,?,?,low,?
?,?,?,?,big,med,unacc
low,vhigh,?,2,?,?,?
?,vhigh,?,4,small,?,unacc
low,vhigh,5more,?,?,?,?
low,?,?,?,?,?,acc
low,vhigh,?,?,?,?,unacc
low,?,?,?,med,?,?
?,?,5more,4,?,high,?
low,?,5more,4,big,low,unacc
?,?,?,?,big,med,?
low,?,5more,?,?,?,?
?,vhigh,?,more,small,?,?
?,?,?,?,small,?,unacc
low,?,?,?,?,?,?
low,vhigh,?,more,med,?,unacc
?,?,5more,more,?,med,acc
low,?,?,?,med,high,?
low,?,?,more,?,?,?
?,vhigh,?,more,big,med,acc
?,?,?,?,?,high,?
low,?,2,2,?,low,unacc
?,?,?,?,?,med,?
?,?,?,2,small,high,?
low,high,?,?,?,?,?
?,?,2,2,med,?,unacc
?,?,?,?,?,high,unacc
?,?,?,?,big,low,unacc
low,high,?,?,?,med,unacc
low,high,?,2,?,?,unacc
?,?,2,?,?,?,?
?,high,?,?,small,?,?
?,?,2,?,small,high,acc
?,?,?,?,?,low,?
low,?,2,4,?,?,acc
low,high,?,4,?,high,acc
?,high,?,4,?,low,unacc
?,high,?,?,big,?,?
low,high,2,4,?,?,?
?,?,2,more,small,?,unacc
low,high,?,more,small,?,unacc
low,?,?,more,small,?,unacc
low,?,?,more,?,?,unacc
?,high,?,?,?,?,?
?,?,?,?,?,?,?
?,?,2,more,big,?,unacc
low,high,2,more,big,?,?
?,?,2,more,?,high,?
?,?,3,2,?,?,?
low,?,3,?,small,med,?
?,?,3,?,?,high,unacc
low,?,?,?,med,low,unacc
?,?,3,?,?,?,?
?,high,?,?,?,?,?
?,high,3,2,?,?,?
low,?,?,?,big,med,?
?,?,?,2,?,high,?
?,?,?,?,?,?,unacc
?,?,3,?,small,?,?
?,high,3,4,?,high,?
?,?,3,?,?,?,unacc
low,high,3,?,?,?,?
?,high,?,?,?,high,?
low,?,3,4,?,?,?
low,?,?,?,?,?,?
?,high,?,?,big,?,?
low,high,?,more,?,low,unacc
low,?,3,?,small,med,?
?,high,3,?,small,?,?
?,high,?,?,?,low,?
?,?,?,more,?,?,acc
?,high,?,?,?,?,?
?,high,3,?,big,?,unacc
low,?,?,more,big,?,?
?,high,?,more,?,high,vgood
low,?,4,2,?,low,?
low,?,4,?,small,?,unacc
?,high,4,?,small,high,unacc
low,high,?,2,?,low,?
low,?,4,?,med,?,?
?,high,?,?,med,?,unacc
?,?,4,2,big,low,?
?,high,4,2,?,med,unacc
low,high,?,?,?,high,?
?,high,4,4,?,?,?
?,?,?,?,small,med,acc
?,?,?,?,?,?,?
?,high,4,?,?,low,?
?,high,4,4,?,?,?
?,high,4,?,med,high,vgood
?,high,?,?,?,low,unacc
?,?,4,?,big,?,acc
low,high,?,?,?,?,?
?,high,4,?,?,low,?
low,?,4,?,?,?,?
?,high,?,?,?,?,?
low,?,4,?,?,low,?
?,?,4,more,?,med,acc
?,high,?,?,med,?,?
low,?,?,?,?,low,unacc
?,high,?,more,?,?,acc
low,high,?,?,big,high,vgood
low,high,5more,?,?,?,?
low,?,?,2,?,?,unacc
?,high,5more,?,small,?,unacc
?,high,?,?,med,?,unacc
?,?,5more,2,?,?,unacc
low,high,5more,2,med,high,?
low,?,5more,2,?,?,?
?,?,?,2,big,med,?
?,?,?,2,?,?,unacc
?,high,5more,?,?,low,unacc
low,high,?,?,?,?,acc
?,high,5more,4,?,?,?
low,?,?,?,med,?,?
?,?,?,4,med,?,?
?,?,5more,4,med,?,?
low,?,?,4,?,?,?
?,high,?,4,big,med,?
low,high,5more,?,?,?,vgood
low,?,?,?,small,low,?
low,high,?,?,?,?,acc
?,?,?,?,?,?,acc
?,high,5more,more,med,?,?
low,?,?,more,?,med,acc
?,?,?,more,?,high,vgood
?,?,?,?,?,?,unacc
low,?,?,?,big,med,?
low,?,?,?,big,?,?
?,?,?,?,?,low,?
low,?,2,?,small,?,?
?,?,?,2,?,high,unacc
?,med,?,?,med,?,?
?,?,?,?,?,?,?
?,?,?,2,?,high,unacc
low,?,2,?,?,?,?
low,med,2,?,?,med,unacc
?,?,?,?,big,high,?
?,?,?,4,?,low,unacc
low,?,?,?,?,med,acc
?,med,?,4,?,high,?
low,med,2,4,med,low,unacc
?,med,2,4,med,?,?
low,med,2,?,med,high,?
?,?,?,?,big,?,?
?,med,?,?,?,med,?
low,?,?,?,?,high,?
low,?,?,?,?,low,?
?,med,?,?,small,med,?
low,med,2,?,small,?,?
?,?,2,more,?,?,?
low,med,?,?,?,?,?
?,?,?,?,med,?,?
low,?,2,?,?,?,?
?,?,?,?,big,?,?
low,med,?,more,?,high,vgood
?,med,3,2,?,?,?
low,med,3,?,?,?,?
?,med,3,2,small,?,?
?,?,3,?,?,?,?
?,?,3,2,?,?,?
?,?,?,2,?,?,?
low,?,3,2,?,low,?
low,med,?,?,?,med,?
?,med,3,2,big,?,?
?,?,?,?,small,low,?
?,?,3,?,?,med,?
?,med,?,4,small,?,good
low,?,?,?,?,low,?
?,?,3,?,med,?,?
?,?,3,?,med,high,?
?,med,3,?,?,low,unacc
?,?,3,4,?,?,?
?,?,?,?,big,?,vgood
low,?,3,?,small,?,unacc
?,med,3,?,?,med,?
low,?,?,?,?,high,good
low,?,?,?,?,low,unacc
?,med,3,?,med,med,good
low,?,3,?,?,high,vgood
?,med,?,more,?,low,?
?,?,?,more,big,med,good
low,med,3,more,?,high,?
low,?,?,2,small,low,unacc
?,?,4,?,small,med,?
?,med,?,?,small,?,unacc
?,?,4,2,?,?,unacc
?,med,?,?,?,?,?
?,?,4,2,?,high,?
?,med,?,2,big,?,?
?,?,?,2,big,med,?
low,?,?,?,?,high,?
low,?,4,?,?,?,?
?,?,?,4,small,med,?
?,med,?,4,?,?,good
low,med,?,4,med,?,?
low,med,4,4,?,med,?
?,?,4,4,?,high,vgood
?,med,?,4,?,?,?
?,med,4,4,big,med,?
low,med,?,?,big,high,?
?,?,4,more,?,?,unacc
low,med,4,?,small,med,?
?,?,4,?,small,?,?
low,?,?,more,?,low,unacc
?,?,4,?,?,?,?
?,?,?,more,?,high,vgood
low,med,?,?,?,?,?
low,?,4,?,?,med,?
low,?,?,more,big,high,?
?,med,?,?,?,?,?
?,med,?,2,?,?,?
?,med,?,2,?,high,unacc
low,?,5more,?,?,?,?
?,?,?,?,?,?,?
?,?,5more,?,med,?,?
low,?,5more,2,big,low,?
low,med,?,2,big,med,unacc
low,med,?,2,?,high,?
low,?,?,4,?,low,?
?,?,?,4,small,med,?
low,?,5more,?,small,high,?
low,?,?,4,?,low,?
?,med,5more,4,?,?,?
?,?,?,4,med,?,vgood
?,?,5more,4,big,low,?
?,med,5more,?,?,med,good
?,med,?,4,big,high,?
?,med,5more,?,?,low,?
?,?,5more,?,?,med,?
?,med,?,?,?,high,?
?,med,?,more,med,?,?
?,?,5more,more,?,med,good
low,med,5more,more,med,?,?
low,med,?,?,big,low,unacc
low,?,?,?,?,?,good
low,med,5more,?,?,?,?
?,?,?,2,small,low,unacc
?,?,2,2,?,med,?
low,low,2,?,?,?,?
?,?,?,2,?,?,unacc
low,?,2,?,?,?,?
?,?,?,?,med,high,?
low,?,2,?,big,?,?
?,low,2,?,?,?,?
low,?,2,2,?,?,?
low,low,?,?,small,low,unacc
low,?,?,?,?,?,?
?,low,?,?,?,?,?
?,?,2,?,med,?,?
?,?,2,4,?,?,acc
?,?,2,?,?,?,good
?,low,?,?,big,?,unacc
low,?,?,4,big,?,good
?,?,2,4,?,?,vgood
?,?,?,more,?,low,?
low,?,2,?,?,?,unacc
low,?,?,?,small,?,?
low,?,2,?,med,low,unacc
low,low,?,?,?,?,acc
low,?,?,?,?,high,?
?,?,2,?,?,?,?
?,?,?,more,big,?,?
?,low,?,?,?,?,vgood
low,?,?,2,small,low,unacc
low,?,3,2,small,med,unacc
low,low,?,?,small,?,unacc
low,low,?,2,med,?,unacc
?,?,?,?,med,?,?
?,?,3,2,med,?,?
?,low,3,?,big,?,?
?,low,?,?,big,?,?
low,low,?,?,?,high,unacc
?,?,3,?,small,low,?
?,low,3,?,?,med,?
?,low,3,?,?,?,?
?,low,3,4,med,low,?
low,?,?,?,?,?,?
low,?,?,4,?,?,good
?,?,?,?,?,low,?
low,?,?,?,?,?,?
low,low,?,?,?,?,?
?,low,3,more,small,low,unacc
?,?,3,more,?,med,acc
?,low,?,?,?,?,?
low,?,3,more,med,?,?
?,?,?,more,med,?,?
?,?,?,?,?,high,vgood
low,?,?,?,big,?,?
?,low,?,more,?,med,?
?,low,?,?,?,?,vgood
?,?,4,?,?,low,unacc
?,?,?,?,small,?,?
low,low,4,2,small,?,?
?,?,?,?,?,?,unacc
?,?,4,2,?,?,?
low,low,?,2,?,high,unacc
?,?,?,2,big,?,?
?,low,4,2,?,med,unacc
?,?,4,2,big,?,unacc
?,?,4,4,?,low,?
?,low,4,?,?,?,acc
low,low,?,?,?,?,?
?,?,?,?,med,low,?
?,?,?,?,med,?,good
low,low,?,?,med,?,?
?,low,4,?,?,?,?
?,?,4,4,?,?,?
?,?,?,?,?,high,vgood
?,?,?,more,?,low,?
?,?,?,more,?,?,acc
?,?,4,more,?,high,good
?,low,4,?,med,?,?
low,?,4,?,?,med,good
?,?,4,more,med,high,?
?,?,4,?,?,low,unacc
low,?,4,more,big,med,good
?,?,?,?,?,high,?
low,?,5more,?,small,low,?
?,low,?,2,?,med,?
?,?,5more,?,small,high,?
?,low,5more,2,?,?,unacc
?,low,5more,?,?,?,?
?,?,?,2,med,high,?
?,low,5more,?,big,?,unacc
?,low,?,?,?,?,?
low,low,?,?,big,high,?
low,?,?,?,small,?,?
?,?,5more,?,?,?,?
?,?,5more,?,?,?,?
low,low,5more,4,?,?,unacc
low,?,?,?,med,?,good
low,?,?,?,med,?,?
low,low,?,4,big,low,?
low,?,?,?,?,?,good
?,?,?,4,?,high,vgood
low,?,5more,more,?,low,unacc
low,?,?,?,small,?,acc
low,?,?,?,?,?,?
?,low,5more,more,?,low,unacc
?,?,5more,?,?,?,?
low,?,5more,?,med,?,vgood
?,?,?,?,?,?,unacc
?,low,5more,?,?,?,good
?,?,?,more,?,high,vgood
